"","budget","score","year","gross","usa"
"710",16,6,6,17.957265,1
"711",0.13,4.9,6,0.799674,1
"712",0.25,6.8,6,0.340147,1
"713",0.038,7,6,0.11748,1
"714",28,6.7,7,39.514713,1
"715",25,7.8,7,56.505065,1
"716",22,8.9,7,96.067179,1
"717",63,8.1,7,402.453882,1
"718",18,8,7,75.082668,1
"719",6.9,7.7,7,7.993039,1
"720",25,7.6,7,40.903593,0
"721",42,6.8,7,158.348367,1
"722",13,8,7,12.2815,1
"723",75,6.6,7,48.919043,1
"724",22,7.8,7,17.266971,1
"725",11,7.8,7,9.170214,1
"726",14.6,8,7,70.906973,1
"727",20,6.7,7,35.739755,0
"728",25,6.9,7,219.2,1
"729",21,6.8,7,126.533006,1
"730",85,6.3,7,50.016394,1
"731",35,8,7,4.496583,1
"732",70,6.4,7,84.049211,1
"733",44,7.8,7,183.87576,1
"734",20,5.9,7,77.698625,1
"735",38,5.8,7,106.6141,1
"736",26,7.7,7,77.324422,1
"737",7,7.6,7,40.158,0
"738",30,7.9,7,36.948322,1
"739",38,5.4,7,57.319029,1
"740",57,6.6,7,58.055768,1
"741",42,4,7,20.915465,0
"742",30,6.4,7,53.898845,0
"743",13,8.1,7,25.01041,0
"744",40,4.9,7,36.3,1
"745",32,7.1,7,36.733909,1
"746",30,7.2,7,32.2,1
"747",17,6.4,7,44.594,1
"748",15,6.9,7,68.856263,1
"749",11,7.4,7,22.551,0
"750",15,6.4,7,23.004026,1
"751",14,7,7,35.112679,1
"752",3.5,7.5,7,27.9,1
"753",18,6.1,7,32.589677,1
"754",25,7.7,7,10.76996,1
"755",8,7,7,2.502551,1
"756",20,6.4,7,11.585483,1
"757",15,5.9,7,9.579068,1
"758",3,4.3,7,15.935068,1
"759",40,6.1,7,48.197805,1
"760",45,6.6,7,100.768056,1
"761",15,7.2,7,39.100956,1
"762",40,7.2,7,102.314283,1
"763",6,5.7,7,13.609396,1
"764",15,6.5,7,20.1,1
"765",0.9,4.7,7,8.55694,1
"766",30,7.5,7,31.160784,1
"767",15,7.9,7,22.954968,1
"768",2,6.7,7,0.621392,0
"769",2.6,6.2,7,2.850263,1
"770",22,4,7,10.69621,1
"771",9,6.7,7,2.395231,1
